2025-03-12 11:45:29,039 [modloading-worker-0] WARN Treasure2 | TreasureIntegrations.java:43 | Unable to load Curios compatiblity class.
2025-03-12 12:51:55,820 [Worker-Main-6] INFO Treasure2 | AbstractChestBlock.java:164 | AbstractChestBlock | createNewTileEntity | tileEntity -> mod.gottsch.forge.treasure2.core.tileentity.IronboundChestTileEntity@58dca93c @ BlockPos{x=0, y=0, z=0}
2025-03-12 12:51:55,822 [Worker-Main-6] INFO Treasure2 | SurfaceChestFeature.java:269 | CHEATER! UNCOMMON chest at coords: 183 64 263
2025-03-12 13:45:37,804 [modloading-worker-3] WARN Treasure2 | TreasureIntegrations.java:43 | Unable to load Curios compatiblity class.
2025-03-12 13:46:04,747 [Server thread] INFO Treasure2 | WorldEventHandler.java:58 | In world load event
2025-03-12 13:46:04,750 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:overworld
2025-03-12 13:46:04,753 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:33 | reading resources file from stream.
2025-03-12 13:46:04,759 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:54 | resources -> LootResources [supportingResources=[pools/combat/common, pools/combat/uncommon, pools/combat/scarce, pools/combat/rare, pools/combat/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2025-03-12 13:46:04,762 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:138 | adding mod to loaded mods list
2025-03-12 13:46:04,763 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/common/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/common/general_chest but it doesn't exist.
2025-03-12 13:46:04,768 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/uncommon/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/uncommon/general_chest but it doesn't exist.
2025-03-12 13:46:04,769 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/scarce/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/scarce/general_chest but it doesn't exist.
2025-03-12 13:46:04,769 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/rare/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/rare/general_chest but it doesn't exist.
2025-03-12 13:46:04,770 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/epic/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/epic/general_chest but it doesn't exist.
2025-03-12 13:46:04,770 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/legendary/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/legendary/general_chest but it doesn't exist.
2025-03-12 13:46:04,771 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/mythical/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/mythical/general_chest but it doesn't exist.
2025-03-12 13:46:04,774 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/black_pearl_well at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/black_pearl_well but it doesn't exist.
2025-03-12 13:46:04,775 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/cauldron_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/cauldron_chest but it doesn't exist.
2025-03-12 13:46:04,777 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/crystal_skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/crystal_skull_chest but it doesn't exist.
2025-03-12 13:46:04,777 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/gold_skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/gold_skull_chest but it doesn't exist.
2025-03-12 13:46:04,777 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/skull_chest but it doesn't exist.
2025-03-12 13:46:04,781 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/white_pearl_well at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/white_pearl_well but it doesn't exist.
2025-03-12 13:46:04,781 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/wither_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/wither_chest but it doesn't exist.
2025-03-12 13:46:04,782 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:33 | reading resources file from stream.
2025-03-12 13:46:04,786 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:54 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2025-03-12 13:46:04,787 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic1.json but it doesn't exist.
2025-03-12 13:46:04,790 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic2.json but it doesn't exist.
2025-03-12 13:46:04,793 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic3.json but it doesn't exist.
2025-03-12 13:46:04,794 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic4.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic4.json but it doesn't exist.
2025-03-12 13:46:04,794 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic5.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic5.json but it doesn't exist.
2025-03-12 13:46:04,794 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/beached-ship1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/beached-ship1.json but it doesn't exist.
2025-03-12 13:46:04,795 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/beached-ship2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/beached-ship2.json but it doesn't exist.
2025-03-12 13:46:04,797 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/beached-ship3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/beached-ship3.json but it doesn't exist.
2025-03-12 13:46:04,798 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/blacksmith1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/blacksmith1.json but it doesn't exist.
2025-03-12 13:46:04,798 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/castle1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/castle1.json but it doesn't exist.
2025-03-12 13:46:04,798 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/cave1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/cave1.json but it doesn't exist.
2025-03-12 13:46:04,799 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/cave2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/cave2.json but it doesn't exist.
2025-03-12 13:46:04,799 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/church1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/church1.json but it doesn't exist.
2025-03-12 13:46:04,799 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/cobb1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/cobb1.json but it doesn't exist.
2025-03-12 13:46:04,802 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/crypt1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/crypt1.json but it doesn't exist.
2025-03-12 13:46:04,803 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/crypt2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/crypt2.json but it doesn't exist.
2025-03-12 13:46:04,803 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/crypt3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/crypt3.json but it doesn't exist.
2025-03-12 13:46:04,804 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/desert-tower2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/desert-tower2.json but it doesn't exist.
2025-03-12 13:46:04,804 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/dingy1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/dingy1.json but it doesn't exist.
2025-03-12 13:46:04,804 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/fortress1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/fortress1.json but it doesn't exist.
2025-03-12 13:46:04,805 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/house1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/house1.json but it doesn't exist.
2025-03-12 13:46:04,807 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/ionic1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/ionic1.json but it doesn't exist.
2025-03-12 13:46:04,808 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/iron-chamber1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/iron-chamber1.json but it doesn't exist.
2025-03-12 13:46:04,808 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/iron-chamber2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/iron-chamber2.json but it doesn't exist.
2025-03-12 13:46:04,808 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/large-tower1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/large-tower1.json but it doesn't exist.
2025-03-12 13:46:04,809 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/mine1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/mine1.json but it doesn't exist.
2025-03-12 13:46:04,809 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/obsidian-chamber1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/obsidian-chamber1.json but it doesn't exist.
2025-03-12 13:46:04,809 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/pirate-chamber1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/pirate-chamber1.json but it doesn't exist.
2025-03-12 13:46:04,809 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/sunken-ship1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/sunken-ship1.json but it doesn't exist.
2025-03-12 13:46:04,810 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/sunken-ship2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/sunken-ship2.json but it doesn't exist.
2025-03-12 13:46:04,812 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/sunken-ship3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/sunken-ship3.json but it doesn't exist.
2025-03-12 13:46:04,813 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/tower1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/tower1.json but it doesn't exist.
2025-03-12 13:46:04,813 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/tower2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/tower2.json but it doesn't exist.
2025-03-12 13:46:04,813 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/tower3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/tower3.json but it doesn't exist.
2025-03-12 13:46:04,814 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/tower4.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/tower4.json but it doesn't exist.
2025-03-12 13:46:04,814 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/tower5.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/tower5.json but it doesn't exist.
2025-03-12 13:46:04,814 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/underwater-ruins1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/underwater-ruins1.json but it doesn't exist.
2025-03-12 13:46:04,815 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/underwater-ruins2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/underwater-ruins2.json but it doesn't exist.
2025-03-12 13:46:04,817 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/underwater-ruins3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/underwater-ruins3.json but it doesn't exist.
2025-03-12 13:46:04,818 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/canopy-wishing-well1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/canopy-wishing-well1.json but it doesn't exist.
2025-03-12 13:46:04,818 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/desert-wishing-well1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/desert-wishing-well1.json but it doesn't exist.
2025-03-12 13:46:04,818 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/desert-wishing-well2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/desert-wishing-well2.json but it doesn't exist.
2025-03-12 13:46:04,819 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/simple-well1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/simple-well1.json but it doesn't exist.
2025-03-12 13:46:04,819 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/wood-draw-wishing-well1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/wood-draw-wishing-well1.json but it doesn't exist.
2025-03-12 13:46:04,820 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:33 | reading resources file from stream.
2025-03-12 13:46:04,824 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:54 | resources -> MetaResources [resources=[submerged/dingy1.nbt, submerged/sunken-ship1.nbt, submerged/sunken-ship2.nbt, submerged/sunken-ship3.nbt, submerged/underwater-ruins1.nbt, submerged/underwater-ruins2.nbt, submerged/underwater-ruins3.nbt, subterranean/basic1.nbt, subterranean/basic2.nbt, subterranean/basic3.nbt, subterranean/basic4.nbt, subterranean/basic5.nbt, subterranean/cave1.nbt, subterranean/cave2.nbt, subterranean/cobb1.nbt, subterranean/crypt1.nbt, subterranean/ionic1.nbt, subterranean/iron-chamber1.nbt, subterranean/iron-chamber2.nbt, subterranean/mine1.nbt, subterranean/obsidian-chamber1.nbt, subterranean/pirate-chamber1.nbt, surface/beached-ship1.nbt, surface/beached-ship2.nbt, surface/beached-ship3.nbt, surface/blacksmith1.nbt, surface/castle1.nbt, surface/church1.nbt, surface/crypt2.nbt, surface/crypt3.nbt, surface/desert-tower2.nbt, surface/fortress1.nbt, surface/house1.nbt, surface/large-tower1.nbt, surface/tower1.nbt, surface/tower2.nbt, surface/tower3.nbt, surface/tower4.nbt, surface/tower5.nbt, wells/canopy-wishing-well1.nbt, wells/desert-wishing-well1.nbt, wells/desert-wishing-well2.nbt, wells/simple-well1.nbt, wells/wood-draw-wishing-well1.nbt], resourceFolderLocations=[submerged, subterranean, surface, wells]]
2025-03-12 13:46:07,672 [Server thread] INFO Treasure2 | WorldEventHandler.java:58 | In world load event
2025-03-12 13:46:07,672 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_nether
2025-03-12 13:46:07,680 [Server thread] INFO Treasure2 | WorldEventHandler.java:58 | In world load event
2025-03-12 13:46:07,680 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:the_end
2025-03-12 14:18:06,153 [modloading-worker-0] WARN Treasure2 | TreasureIntegrations.java:43 | Unable to load Curios compatiblity class.
2025-03-12 14:18:37,921 [Server thread] INFO Treasure2 | WorldEventHandler.java:58 | In world load event
2025-03-12 14:18:37,924 [Server thread] INFO Treasure2 | WorldEventHandler.java:66 | In world load event for dimension minecraft:overworld
2025-03-12 14:18:37,926 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:33 | reading resources file from stream.
2025-03-12 14:18:37,930 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:54 | resources -> LootResources [supportingResources=[pools/combat/common, pools/combat/uncommon, pools/combat/scarce, pools/combat/rare, pools/combat/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2025-03-12 14:18:37,930 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:138 | adding mod to loaded mods list
2025-03-12 14:18:37,931 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/common/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/common/general_chest but it doesn't exist.
2025-03-12 14:18:37,935 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/uncommon/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/uncommon/general_chest but it doesn't exist.
2025-03-12 14:18:37,937 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/scarce/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/scarce/general_chest but it doesn't exist.
2025-03-12 14:18:37,939 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/rare/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/rare/general_chest but it doesn't exist.
2025-03-12 14:18:37,940 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/epic/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/epic/general_chest but it doesn't exist.
2025-03-12 14:18:37,941 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/legendary/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/legendary/general_chest but it doesn't exist.
2025-03-12 14:18:37,942 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/mythical/general_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/mythical/general_chest but it doesn't exist.
2025-03-12 14:18:37,943 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/black_pearl_well at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/black_pearl_well but it doesn't exist.
2025-03-12 14:18:37,945 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/cauldron_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/cauldron_chest but it doesn't exist.
2025-03-12 14:18:37,946 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/crystal_skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/crystal_skull_chest but it doesn't exist.
2025-03-12 14:18:37,946 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/gold_skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/gold_skull_chest but it doesn't exist.
2025-03-12 14:18:37,947 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/skull_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/skull_chest but it doesn't exist.
2025-03-12 14:18:37,947 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/white_pearl_well at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/white_pearl_well but it doesn't exist.
2025-03-12 14:18:37,948 [Server thread] WARN Treasure2 | TreasureLootTableMaster2.java:300 | expected to find loot table treasure2:chests/special/wither_chest at ./world/datapacks/treasure2/data/treasure2/loot_tables/chests/special/wither_chest but it doesn't exist.
2025-03-12 14:18:37,950 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:33 | reading resources file from stream.
2025-03-12 14:18:37,951 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:54 | resources -> MetaResources [resources=[structures/basic1.json, structures/basic2.json, structures/basic3.json, structures/basic4.json, structures/basic5.json, structures/beached-ship1.json, structures/beached-ship2.json, structures/beached-ship3.json, structures/blacksmith1.json, structures/castle1.json, structures/cave1.json, structures/cave2.json, structures/church1.json, structures/cobb1.json, structures/crypt1.json, structures/crypt2.json, structures/crypt3.json, structures/desert-tower2.json, structures/dingy1.json, structures/fortress1.json, structures/house1.json, structures/ionic1.json, structures/iron-chamber1.json, structures/iron-chamber2.json, structures/large-tower1.json, structures/mine1.json, structures/obsidian-chamber1.json, structures/pirate-chamber1.json, structures/sunken-ship1.json, structures/sunken-ship2.json, structures/sunken-ship3.json, structures/tower1.json, structures/tower2.json, structures/tower3.json, structures/tower4.json, structures/tower5.json, structures/underwater-ruins1.json, structures/underwater-ruins2.json, structures/underwater-ruins3.json, structures/canopy-wishing-well1.json, structures/desert-wishing-well1.json, structures/desert-wishing-well2.json, structures/simple-well1.json, structures/wood-draw-wishing-well1.json], resourceFolderLocations=[chests, structures]]
2025-03-12 14:18:37,952 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic1.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic1.json but it doesn't exist.
2025-03-12 14:18:37,955 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic2.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic2.json but it doesn't exist.
2025-03-12 14:18:37,955 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic3.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic3.json but it doesn't exist.
2025-03-12 14:18:37,956 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic4.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic4.json but it doesn't exist.
2025-03-12 14:18:37,956 [Server thread] WARN Treasure2 | TreasureMetaManager.java:235 | expected to find meta treasure2:structures/basic5.json at ./world/datapacks/treasure2/data/treasure2/meta/structures/basic5.json but it doesn't exist.
